title,category_name,rating,price_inr
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Nonfiction,5,2438.1
A Light in the Attic,Poetry,3,5461.74
Aladdin and His Wonderful Lamp,Default,3,5605.22
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Default,3,2373.75
Behind Closed Doors,Thriller,4,5509.21
Birdsong: A Story in Pictures,Childrens,3,5764.52
Black Dust,Romance,5,3642.92
Chase Me (Paris Nights #2),Romance,5,2665.98
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Food and Drink,3,3219.86
How Music Works,Music,2,3937.26
In Her Wake,Thriller,1,1354.62
"In a Dark, Dark Wood",Mystery,1,2070.96
In the Country We Love: My Family Divided,Nonfiction,4,2321.0
It's Only the Himalayas,Travel,2,4765.44
Join,Science Fiction,5,3763.19
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),Add a comment,2,5686.45
"Layered: Baking, Building, and Styling Spectacular Cakes",Food and Drink,1,4231.6
Libertarianism for Beginners,Politics,2,5415.32
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Sequential Art,2,2101.56
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Sequential Art,3,4811.85
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Sequential Art,2,4949.0
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",Food and Drink,4,1479.11
Masks and Shadows,Fantasy,2,5950.2
Maude (1883-1993):She Grew Up with the country,Default,2,1901.11
Mesaerion: The Best Science Fiction Stories 1800-1849,Science Fiction,1,3965.75
My Paris Kitchen: Recipes and Stories,Food and Drink,2,3520.54
Obsidian (Lux #1),Young Adult,2,1567.73
Olio,Poetry,1,2519.34
On a Midnight Clear,Add a comment,3,1484.38
Online Marketing for Busy Authors: A Step-By-Step Guide,Self Help,1,4889.92
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Music,3,6039.88
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Sequential Art,4,1628.92
Patience,Sequential Art,3,1071.88
Penny Maybe,Default,3,3512.1
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",History,2,3827.54
"Pop Gun War, Volume 1: Gift",Sequential Art,1,2001.33
Princess Between Worlds (Wide-Awake Princess #5),Fantasy,5,1407.37
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Sequential Art,5,1435.86
Private Paris (Private #10),Fiction,5,5022.85
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Sequential Art,3,5317.2
Reasons to Stay Alive,Nonfiction,2,2786.26
Reskilling America: Learning to Labor in the Twenty-First Century,Nonfiction,2,2092.06
Rip it Up and Start Again,Music,5,3694.61
"Saga, Volume 5 (Saga (Collected Editions) #5)",Sequential Art,2,5384.72
"Saga, Volume 6 (Saga (Collected Editions) #6)",Fantasy,3,2639.61
Sapiens: A Brief History of Humankind,History,5,5721.26
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Sequential Art,5,5516.6
Security,Horror,2,4140.88
Set Me Free,Young Adult,5,1842.03
Shakespeare's Sonnets,Poetry,4,2179.63
Sharp Objects,Mystery,4,5045.01
Slow States of Collapse: Poems,Poetry,3,6046.2
Sophie's World,Philosophy,5,1681.67
Soul Reader,Default,2,4175.69
Soumission,Fiction,1,5285.55
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Nonfiction,4,4413.06
"Starving Hearts (Triangular Trade Trilogy, #1)",Default,2,1475.94
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,Spirituality,5,3401.32
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,History,1,2081.52
The Art Forger,Add a comment,3,4300.18
The Bear and the Piano,Childrens,1,3891.9
The Black Maria,Poetry,1,5501.82
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Default,4,2384.3
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",Health,3,5174.77
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Default,3,1891.62
The Death of Humanity: and the Case for Life,Philosophy,4,6130.6
The Dirty Little Secrets of Getting Your Dream Job,Business,4,3517.37
The Electric Pencil: Drawings from Inside State Hospital No. 3,Nonfiction,1,5914.33
The Elephant Tree,Thriller,5,2513.01
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Nonfiction,3,3275.78
The Four Agreements: A Practical Guide to Personal Freedom,Spirituality,5,1863.13
The Gutsy Girl: Escapades for Your Life of Epic Adventure,Nonfiction,1,3917.22
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",Default,5,2172.24
